Exercise Name,Dart Image Path
Neck Rolls,assets/images/Neck Rolls.jpg
Shoulder Rolls,assets/images/Shoulder_Rolls.png
Arm Swings,assets/images/Arm_Swings.png
Torso Twists,assets/images/Torso_Twists.png
Jumping Jacks,assets/images/Jumping_Jacks.jpeg
Ankle Circles,assets/images/Ankle_Circles.jpeg
Leg Swings,assets/images/Leg Swings.png
Hip Circles,assets/images/Hip Circles.jpeg
High Knees,assets/images/High Knees.jpeg
Threadmill,assets/images/Threadmill.jpeg
Standing Side Bend,assets/images/Standing Side Bend.jpeg
Butterfly Stretch,assets/images/Butterfly Stretch.jpeg
Cobra Pose,assets/images/Cobra Pose.png
Child’s Pose,assets/images/Childs Pose.png
Legs-Up-The-Wall Pose,assets/images/Legs-Up-The-Wall Pose.jpeg
Sumo Squats,assets/images/Sumo Squats.jpeg
Forward Lunges,assets/images/Forward Lunges.png
Side Lunges,assets/images/Side Lunges.png
Glute Bridge,assets/images/Glute Bridge.png
Wall Sit,assets/images/Wall Sit.jpeg
Step-Ups,assets/images/Step-Ups.jpeg
Mountain Climbers,assets/images/Mountain Climbers.jpeg
Leg Raises,assets/images/Leg Raises.png
Russian Twists,assets/images/Russian Twists.jpeg
Forearm Plank,assets/images/Forearm Plank.png
Push-Ups,assets/images/Push-Ups.jpeg
Bird-Dog,assets/images/Bird-Dog.png
Chair Pose Hold,assets/images/Chair Pose Hold.jpeg
Triceps Dips,assets/images/Triceps Dips.jpeg
Squat to Knee Raise,assets/images/Squat to Knee Raise.jpeg
High Plank to Low Plank,assets/images/High Plank to Low Plank.jpeg
